"","motif","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","motif.name"
"194","MA0114.4",1.11064156280094e-11,0.628350772009606,0.697,0.462,7.03036109252994e-09,"AT2 cells","HNF4A"
"195","MA0115.1",2.29686452051111e-14,1.01160370490326,0.761,0.443,1.45391524148353e-11,"AT2 cells","NR1H2::RXRA"
"196","MA0115.1",8.78389279618889e-13,0.696067373676238,0.783,0.445,5.56020413998757e-10,"Cilliated cells","NR1H2::RXRA"
"197","MA0115.1",5.54420980124031e-292,1.68264777396428,0.847,0.374,3.50948480418512e-289,"Club cells_1","NR1H2::RXRA"
"198","MA0115.1",2.39093908300651e-97,1.78970509399144,0.862,0.426,1.51346443954312e-94,"Club cell_2","NR1H2::RXRA"
"199","MA0115.1",9.14784442497347e-58,2.75007414227161,0.897,0.439,5.79058552100821e-55,"Club cells_3","NR1H2::RXRA"
"200","MA0119.1",3.24809407028729e-15,3.21460208525714,0.577,0.423,2.05604354649185e-12,"NE_6","NFIC::TLX1"
"201","MA0119.1",5.71902628706407e-51,0.921837139681582,0.193,0.455,3.62014363971156e-48,"NE_5","NFIC::TLX1"
"202","MA0119.1",1.25011400273329e-148,4.27119368465098,0.938,0.41,7.91322163730171e-146,"NFIB high_NE","NFIC::TLX1"
"203","MA0130.1",1.56221602106144e-30,0.819708845143595,0.816,0.554,9.88882741331889e-28,"NFIB high_NE","ZNF354C"
"204","MA0130.1",0.00137514558690891,0.556305137641065,0.67,0.563,0.870467156513337,"NE_8","ZNF354C"
"205","MA0130.1",1.98981818287396e-69,0.720491110299255,0.784,0.533,1.25955490975921e-66,"NE_2","ZNF354C"
"206","MA0131.2",5.06345700416855e-05,1.09407542506206,0.677,0.478,0.0320516828363869,"Stromal cells","HINFP"
"207","MA0131.2",2.59182606509337e-06,0.546049204016031,0.674,0.477,0.00164062589920411,"Cilliated cells","HINFP"
"208","MA0131.2",2.26611371997298e-06,0.570122682958124,0.655,0.476,0.0014344499847429,"AT2 cells","HINFP"
"209","MA0131.2",2.87979054149004e-19,2.52593353192939,0.976,0.477,1.8229074127632e-16,"Endothelial cells","HINFP"
"210","MA0132.2",2.05202493590954e-08,0.721893555232376,0.661,0.478,1.29893178443074e-05,"NE_7","PDX1"
